category,question,option1,option2,option3,option4,answer
힘듦,욥은 어떤 시련 속에서도 하나님을 향한 믿음을 잃지 않았다. 그는 어떤 인물인가?,왕,부자,선지자,사사,2
힘듦,요셉이 형들에게 팔려 간 후 어떤 고난을 겪었는가?,왕이 됨,감옥에 감,도망침,유배됨,2
힘듦,이스라엘 백성이 애굽에서 겪은 고난은?,홍수,기근,노예 생활,가뭄,3
힘듦,예수님은 광야에서 며칠 동안 금식하며 시험을 받으셨는가?,30일,20일,40일,10일,3
힘듦,엘리야 선지자가 낙심하여 도망한 이유는?,기근 때문,아합 왕 때문,이세벨의 위협,기도 실패,3
힘듦,바울은 복음을 전하면서 어떤 고난을 겪었는가?,부유함,감옥 생활,권력 획득,편안한 삶,2
힘듦,다윗은 사울에게 쫓길 때 어디에 숨어 살았는가?,궁전,사막,동굴,배,3
힘듦,하나님은 고난을 통해 우리에게 무엇을 가르치시는가?,미움,복수,인내,자만,3
힘듦,시편 기자는 고난 당한 것이 내게 무엇이라고 고백했는가?,벌,축복,심판,고통,2
힘듦,이스라엘 백성이 광야에서 고난을 겪은 기간은?,10년,20년,30년,40년,4
힘듦,요셉은 고난 중에도 어떤 태도를 유지했는가?,원망,믿음,복수심,무관심,2
힘듦,하나님은 우리가 고난 받을 때 무엇을 함께 하시는가?,침묵,벌,동행,시험,3
힘듦,욥의 친구들은 고난의 원인을 무엇으로 보았는가?,하나님의 시험,죄,재물,질투,2
힘듦,하나님께서 우리에게 시련을 허락하시는 목적은?,벌하기 위해,죽이기 위해,훈련하기 위해,포기하기 위해,3
힘듦,예수님은 십자가를 지시기 전 어떤 기도를 하셨는가?,불평,감사,회피,고뇌의 기도,4
힘듦,사도 요한은 어떤 고난의 장소에서 계시를 받았는가?,예루살렘,베들레헴,파타모섬,로마,3
힘듦,욥은 고난 후 어떤 결과를 얻었는가?,죽음,모든 것의 회복,추방,침묵,2
힘듦,예수님은 우리의 고난을 어떻게 하시는 분인가?,모르심,외면하심,함께 하심,심판하심,3
힘듦,베드로는 고난 중에도 무엇을 강조했는가?,두려움,순종,믿음의 단련,회피,3
힘듦,바울은 고난 속에서도 자신을 어떻게 소개했는가?,죄인,종,사도,연약한 자,3
